mlbAM_ID,Year,player_name,CH_pfx_x,CU_pfx_x,FF_pfx_x,SL_pfx_x,CH_pfx_z,CU_pfx_z,FF_pfx_z,SL_pfx_z,CH_release_pos_x,CU_release_pos_x,FF_release_pos_x,SL_release_pos_x,CH_release_pos_z,CU_release_pos_z,FF_release_pos_z,SL_release_pos_z,CH_release_speed,CU_release_speed,FF_release_speed,SL_release_speed,CH_release_spin_rate,CU_release_spin_rate,FF_release_spin_rate,SL_release_spin_rate,SI_pfx_x,SI_pfx_z,SI_release_pos_x,SI_release_pos_z,SI_release_speed,SI_release_spin_rate,FC_pfx_x,FC_pfx_z,FC_release_pos_x,FC_release_pos_z,FC_release_speed,FC_release_spin_rate,Stf+ FF,Stf+ SI,Stf+ FC,Stf+ SL,Stf+ CH,Stf+ CU,fg_ID
650893,2020,"Cabrera, Génesis",1.182692308,-0.561983471,0.6702,,0.919807692,-0.912066116,1.5213,,1.430769231,1.13214876,0.9752,,6.006153846,6.138842975,6.204,,88.47884615,81.31818182,96.0935,,1818.596154,2463.85124,2278.63,,1.165833333,1.250416667,1.064583333,6.172916667,96.92083333,2332.208333,,,,,,,106.0,99.0,,,96.0,110.0,17490
502239,2020,"Cahill, Trevor",-1.131037037,0.916761905,-0.695434783,,0.125407407,-0.959142857,1.023478261,,-1.85,-1.999904762,-2.117826087,,6.471925926,6.338857143,6.11673913,,82.68814815,78.45047619,90.84782609,,1546.8,2976.409524,2197.586957,,-1.345,0.589912281,-2.163421053,6.135087719,90.85789474,2139.0,0.051785714,0.183035714,-2.336607143,6.026785714,85.1375,2186.071429,78.0,88.0,78.0,,110.0,105.0,6249
656288,2020,"Canning, Griffin",-1.255918367,0.646153846,-0.710739796,-0.044063927,0.725170068,-0.487692308,1.495892857,-0.199269406,-1.786530612,-1.798461538,-1.544668367,-1.723378995,5.920680272,6.088461538,5.975739796,6.030821918,87.9244898,82.13846154,92.75790816,86.55205479,1742.917241,2467.230769,2352.054264,2597.612903,,,,,,,0.032319588,0.662938144,-1.735206186,5.946907216,88.64793814,2367.319588,93.0,,94.0,147.0,88.0,112.0,19867
471911,2020,"Carrasco, Carlos",-0.578885135,0.787083333,-0.73117801,0.319932886,0.148277027,-0.570138889,1.261073298,0.03090604,-1.502297297,-1.443333333,-1.486858639,-1.551073826,5.722804054,5.742916667,5.768717277,5.678322148,87.6722973,83.44861111,93.69450262,85.99932886,1317.061017,2930.15873,2472.175853,2780.1341,-1.298113208,0.654528302,-1.560566038,5.675660377,92.33773585,2357.056604,,,,,,,90.0,86.0,,112.0,131.0,124.0,6632
641447,2020,"Castano, Daniel",0.945625,,0.304108108,-0.604344262,1.151666667,,0.943675676,-0.006639344,1.9959375,,1.891567568,2.005081967,5.986979167,,6.06827027,6.005081967,81.228125,,89.42918919,79.38688525,1726.510417,,2243.902703,2449.827869,0.92,0.952535211,1.952676056,5.990422535,87.11126761,2074.228571,,,,,,,75.0,79.0,,91.0,78.0,,19805
624418,2020,"Castellani, Ryan",-1.068629032,0.817443609,-0.876204188,0.271167883,0.5225,-0.726842105,1.042356021,0.172116788,-1.746209677,-1.722330827,-1.73473822,-1.724671533,5.413548387,5.429398496,5.320575916,5.350729927,85.825,79.50225564,92.57408377,85.03649635,1652.741935,2460.285714,2349.903141,2536.138686,-1.246923077,1.003076923,-1.876923077,5.32,89.52307692,2191.384615,,,,,,,70.0,78.0,,110.0,92.0,101.0,16377
622491,2020,"Castillo, Luis",-1.371763006,,-0.918108974,-0.002058824,0.080520231,,1.030160256,0.030784314,-2.806271676,,-2.637596154,-2.878235294,5.126618497,,5.538685897,5.236176471,88.21011561,,97.41858974,86.75588235,1942.306122,,2180.598706,2484.331683,-1.496082474,0.353195876,-2.682817869,5.395670103,97.45429553,2099.734266,,,,,,,95.0,88.0,,130.0,121.0,,15689
612434,2020,"Castro, Miguel",-1.525393258,,,0.564662162,0.300337079,,,0.177972973,-2.582921348,,,-2.535135135,5.153258427,,,5.146891892,92.2752809,,,86.78108108,2123.494382,,,2931.128378,-1.483907563,0.630462185,-2.41592437,5.120840336,98.07184874,2345.44958,,,,,,,,75.0,,136.0,127.0,,15684
656302,2020,"Cease, Dylan",-0.517753623,0.618118812,-0.364142582,0.582721713,1.22326087,-1.517128713,1.313391137,-0.350856269,-1.247173913,-1.254554455,-1.294373796,-1.411284404,6.210724638,6.191683168,6.319190751,6.177492355,82.86086957,78.96336634,97.45183044,85.00856269,1724.371212,2679.811881,2515.693957,2800.623853,,,,,,,,,,,,,97.0,,,126.0,83.0,116.0,18525
518553,2020,"Cishek, Steve",-1.5,,-0.532,1.076510417,0.0775,,0.861,-0.217135417,-3.53,,-3.603,-3.616458333,4.13,,4.164,4.100729167,82.4,,89.21,78.17291667,1847.75,,2354.0,2334.915789,-1.277857143,0.500952381,-3.602142857,4.179404762,90.40178571,2311.26506,,,,,,,87.0,97.0,,80.0,36.0,,6483
542585,2020,"Cisnero, José",-1.270434783,,-0.828758389,0.359383562,0.584782609,,1.225402685,0.031986301,-1.540434783,,-1.468187919,-1.464315068,5.309782609,,5.417315436,5.461369863,90.76521739,,96.32248322,86.72739726,1659.369565,,2413.050336,2507.657534,-1.154482759,0.581034483,-1.537586207,5.352758621,95.36551724,2080.275862,,,,,,,100.0,93.0,,127.0,99.0,,6399
650644,2020,"Civale, Aaron",-1.278728814,1.002619926,-0.328148148,0.620322581,0.726864407,-1.314649446,1.342592593,-0.154435484,-1.036271186,-0.638450185,-0.724444444,-0.823709677,5.860254237,6.120811808,6.073333333,6.0275,85.30338983,75.68118081,91.25925926,82.24112903,2031.779661,2836.121771,2339.592593,2703.395161,-1.125349462,0.981236559,-0.90561828,5.933709677,91.75430108,2268.233871,0.419264305,0.734277929,-0.735476839,6.100926431,87.4106267,2497.773224,67.0,83.0,104.0,100.0,91.0,150.0,19479
664199,2020,"Clarke, Taylor",-1.201764706,0.442432432,-0.450875,0.372052632,0.584369748,-0.875135135,1.5254375,0.234684211,-1.542857143,-1.074594595,-1.2431875,-1.199736842,6.037983193,6.35472973,6.25953125,6.261736842,88.86554622,79.91486486,94.345625,86.32631579,1508.336134,2475.22973,2335.61875,2245.789474,,,,,,,,,,,,,99.0,,,118.0,107.0,110.0,17611
605182,2020,"Clevinger, Mike",-0.899074074,0.310617284,-0.584362934,1.111238095,1.000740741,-0.914074074,1.476833977,0.008095238,-1.145185185,-0.922345679,-1.28984556,-1.198380952,5.718148148,5.951111111,5.697142857,5.772619048,87.22962963,78.72222222,95.13011583,81.65285714,1479.111111,2303.54321,2349.019305,2461.947619,,,,,,,0.348666667,0.441111111,-1.269777778,5.73,88.03777778,2532.066667,110.0,,101.0,121.0,89.0,119.0,12808
461325,2020,"Clippard, Tyler",-0.684201681,0.490645161,-0.541265823,,0.723529412,-0.892258065,1.633417722,,-1.489285714,-1.555483871,-1.331012658,,6.144201681,5.861935484,6.026962025,,79.14117647,75.06451613,89.40126582,,1801.37395,2315.258065,2364.037975,,-1.038705882,1.361529412,-2.123176471,5.806823529,88.76941176,2307.376471,,,,,,,96.0,94.0,,,99.0,96.0,5640
502171,2020,"Cobb, Alex",-1.04665493,0.333925926,-0.568,,0.342676056,-1.019333333,1.372,,-1.967922535,-1.863555556,-1.906,,6.24,6.222740741,6.172,,86.92816901,81.70074074,92.9,,1616.077739,2578.537313,2097.8,,-1.224960836,1.097232376,-1.911462141,6.168798956,92.4613577,2090.259162,,,,,,,80.0,71.0,,,112.0,117.0,6562
595918,2020,"Cole, A.J.",-1.448064516,0.479,-0.694328358,0.141694915,0.712258065,-0.082,1.428507463,0.479887006,-1.407741935,-1.494,-1.014029851,-1.402090395,5.762903226,5.737,5.91,5.734915254,86.28064516,78.27,93.39179104,83.4920904,2072.709677,2197.0,2331.298507,2287.666667,,,,,,,-0.189473684,0.941052632,-1.368157895,5.738421053,88.59736842,2171.552632,85.0,,71.0,101.0,107.0,99.0,11467
