mlbAM_ID,Year,player_name,FF_pfx_z_diff,FF_pfx_x_SL_pfx_z_diff,FF_pfx_x_diff,FF_pfx_z_SL_pfx_x_diff,FF_release_speed_diff,FF_release_spin_rate_diff,FF_release_pos_x_diff,FF_release_pos_z_diff,CU_pfx_z_diff,CU_pfx_x_SL_pfx_z_diff,CU_pfx_x_diff,CU_pfx_z_SL_pfx_x_diff,CU_release_speed_diff,CU_release_spin_rate_diff,CU_release_pos_x_diff,CU_release_pos_z_diff,CH_pfx_z_diff,CH_pfx_x_SL_pfx_z_diff,CH_pfx_x_diff,CH_pfx_z_SL_pfx_x_diff,CH_release_speed_diff,CH_release_spin_rate_diff,CH_release_pos_x_diff,CH_release_pos_z_diff,SI_pfx_z_diff,SI_pfx_x_SL_pfx_z_diff,SI_pfx_x_diff,SI_pfx_z_SL_pfx_x_diff,SI_release_speed_diff,SI_release_spin_rate_diff,SI_release_pos_x_diff,SI_release_pos_z_diff,FC_pfx_z_diff,FC_pfx_x_SL_pfx_z_diff,FC_pfx_x_diff,FC_pfx_z_SL_pfx_x_diff,FC_release_speed_diff,FC_release_spin_rate_diff,FC_release_pos_x_diff,FC_release_pos_z_diff,pitch_usage,est_woba,run_value_per_100
518553,2020,"Cishek, Steve",1.078135417,-0.314864583,1.608510417,-0.215510417,11.03708333,19.08421053,0.013458333,0.063270833,,,,,,,,,0.294635417,-1.282864583,2.576510417,-0.999010417,4.227083333,487.1657895,0.086458333,0.029270833,0.718087798,-1.060721726,2.35436756,-0.575558036,12.22886905,23.65072923,0.014315476,0.078675595,,,,,,,,,51.3,0.288,-0.2
542585,2020,"Cisnero, José",1.193416383,-0.860744691,1.188141951,0.866019123,9.595085961,94.60719868,0.003872851,0.044054427,,,,,,,,,0.552796307,-1.302421084,1.629818344,0.225399047,4.037820131,848.287969,0.076119714,0.151587254,0.549048181,-1.18646906,1.51386632,0.221650921,8.638119981,427.3816722,0.073271138,0.108611242,,,,,,,,,28.1,0.219,2.1
650644,2020,"Civale, Aaron",1.497028076,-0.173712664,0.948470729,0.722270012,9.018130227,363.8025687,0.099265233,0.045833333,1.160213963,1.15705541,0.382297346,-1.934972027,6.55994822,132.7266099,0.185259493,0.093311808,0.881299891,-1.12429333,1.899051394,0.106541826,3.062260798,671.6155003,0.212561509,0.167245763,1.135672043,-0.970913978,1.745672043,0.360913978,9.513172043,435.1612903,0.081908602,0.093790323,0.888713413,0.573699789,0.201058275,0.113955349,5.169497671,205.6219372,0.088232838,0.073426431,9.5,0.29,-3.6
664199,2020,"Clarke, Taylor",1.290753289,-0.685559211,0.822927632,1.153384868,8.019309211,89.82927632,0.043450658,0.002205592,1.109819346,0.207748222,0.070379801,-1.247187767,6.411450925,229.440256,0.125142248,0.092992888,0.349685537,-1.436448916,1.573817337,0.212317116,2.539230429,737.4533392,0.343120301,0.223753649,,,,,,,,,,,,,,,,,27.0,0.25,0.2
605182,2020,"Clevinger, Mike",1.468738739,-0.592458172,1.69560103,0.365595882,13.47725869,112.928314,0.091464607,0.07547619,0.922169312,0.302522046,0.800620811,-2.025312169,2.930634921,158.4044092,0.276035273,0.178492063,0.992645503,-0.907169312,2.010312169,-0.110497354,5.576772487,982.8365079,0.053195767,0.054470899,,,,,,,,,0.433015873,0.340571429,0.762571429,-0.670126984,6.384920635,70.11904762,0.071396825,0.042619048,32.4,0.264,1.8
595918,2020,"Cole, A.J.",0.948620457,-1.174215364,0.836023273,1.286812547,9.899700649,43.6318408,0.388060545,0.175084746,0.561887006,-0.000887006,0.337305085,-0.223694915,5.222090395,90.66666667,0.091909605,0.002084746,0.232371059,-1.927951522,1.589759431,0.570563149,2.788554766,214.9569892,0.00565154,0.027987972,,,,,,,,,0.461165626,-0.66936069,0.331168599,0.799357716,5.105278026,116.1140351,0.033932501,0.003505798,45.4,0.195,-1.1
543037,2020,"Cole, Gerrit",1.20278481,-1.305094937,1.436885477,1.07099427,8.004485973,76.47010777,0.026370168,0.060610674,1.230652439,0.503542683,0.371752142,-1.36244298,5.347170402,221.6174192,0.039400132,0.088662327,0.593936567,-1.579197761,1.710988302,0.462146027,0.394196248,831.3538221,0.045962081,0.211615067,1.044583333,-1.645416667,1.777207207,0.912792793,7.257545045,76.91103604,0.185315315,0.238231982,,,,,,,,,24.6,0.204,1.3
571578,2020,"Corbin, Patrick",1.202371335,0.591012639,0.975942872,1.587301567,10.96887007,83.29112975,0.15772725,0.061212083,0.225775899,-0.331684989,0.053245243,0.159154334,14.15687104,389.4160677,0.034560254,0.263054968,0.867193798,0.806527132,1.191457364,1.252124031,1.485658915,690.5569767,0.037317829,0.031581395,0.971435734,1.042403476,1.427333708,1.356365966,10.92724431,145.3385131,0.13375869,0.012187422,,,,,,,,,40.3,0.256,1.3
622772,2020,"Cordero, Jimmy",1.256643357,-0.247972028,0.564941725,0.93967366,9.595571096,41.27272727,0.177470862,0.188881119,0.328484848,0.481515152,0.164545455,-0.645454545,6.278787879,55.56060606,0.088560606,0.150227273,0.777239789,-0.892760211,1.209729908,0.460270092,0.987878788,515.671278,0.021040843,0.067437418,1.019408485,-1.050031515,1.367001212,0.702438788,9.095878788,98.65041544,0.094793939,0.120433939,0.933030303,0.064848485,0.252121212,0.616060606,5.078787879,101.969697,0.088030303,0.107575758,15.6,0.377,-1.3
456501,2020,"Cueto, Johnny",0.612707543,-1.508218383,0.969634312,1.151291614,6.564875685,8.935564893,0.157615536,0.081220209,0.615208308,-0.340322463,0.198261607,-0.076624237,4.135483089,106.2688003,0.006029822,0.001513719,0.232768647,-1.556762154,1.018178083,0.305815424,2.378197908,897.7894782,0.055757672,0.021863004,0.177315386,-1.995289656,1.456705585,0.715899457,6.021878486,108.4628769,0.167470811,0.1249208,,,,,,,,,9.9,0.292,-1.9
