"mlbAM_ID","Year","player_name","FF_pfx_z_diff","FF_pfx_x_FC_pfx_z_diff","FF_pfx_x_diff","FF_pfx_z_FC_pfx_x_diff","FF_release_speed_diff","FF_release_spin_rate_diff","FF_release_pos_x_diff","FF_release_pos_z_diff","CU_pfx_z_diff","CU_pfx_x_FC_pfx_z_diff","CU_pfx_x_diff","CU_pfx_z_FC_pfx_x_diff","CU_release_speed_diff","CU_release_spin_rate_diff","CU_release_pos_x_diff","CU_release_pos_z_diff","SL_pfx_z_diff","SL_pfx_x_FC_pfx_z_diff","SL_pfx_x_diff","SL_pfx_z_FC_pfx_x_diff","SL_release_speed_diff","SL_release_spin_rate_diff","SL_release_pos_x_diff","SL_release_pos_z_diff","CH_pfx_z_diff","CH_pfx_x_FC_pfx_z_diff","CH_pfx_x_diff","CH_pfx_z_FC_pfx_x_diff","CH_release_speed_diff","CH_release_spin_rate_diff","CH_release_pos_x_diff","CH_release_pos_z_diff","SI_pfx_z_diff","SI_pfx_x_FC_pfx_z_diff","SI_pfx_x_diff","SI_pfx_z_FC_pfx_x_diff","SI_release_speed_diff","SI_release_spin_rate_diff","SI_release_pos_x_diff","SI_release_pos_z_diff","pitch_usage","run_value_per_100","Stuff","est_woba"
579328,2021,"Kikuchi, Yusei",0.564547555,0.0541208589999999,0.845071642,1.355498338,3.80024035999999,88.2852980000002,0.00711429,0.0048822689999994,NA,NA,NA,NA,NA,NA,NA,NA,1.036647808,-1.011420536,0.220469753,-0.245697025,8.85517268000001,102.332931,0.425639572,0.221454693,0.345890489,0.0941466859999999,0.885097469,0.445060294,5.07552124,849.362121,0.479212262,0.233019718,NA,NA,NA,NA,NA,NA,NA,NA,34.9,0.5,96,0.427
446372,2021,"Kluber, Corey",0.646789317,-1.067964781,0.758266979,0.956487119,2.25068457,191.386985,0.0300355789999999,0.0631845609999999,0.602122375,0.786325462,1.096023264,-0.292424573,5.70106115,51.8890689999998,0.048947026,0.0708257840000001,NA,NA,NA,NA,NA,NA,NA,NA,0.217446249,-1.758152771,1.448454969,0.0922515529999999,2.95624701,816.090745,0.0647390109999999,0.0021165789999999,0.092028388,-1.917197802,1.6075,0.40172619,3.10592948999999,341.176981,0.0454235349999998,0.0221497250000002,27.2,1.4,111,0.327
641778,2021,"Lauer, Eric",0.402412685,-0.161888014,0.520969129,1.085269828,2.24695207000001,88.1267630000002,0.291954712,0.0548220410000004,1.560469878,-1.452829033,0.76997189,-0.877612735,11.45204166,104.248572,0.197278672,0.0464914979999999,0.49307969,-1.14646952,0.463612377,0.189777453,2.95370672999999,103.506034,0.353226392,0.0384697099999993,0.353044603,0.15722689,0.840084033,0.32981254,3.69857789,863.040075,0.0820232709999999,0.147942253,NA,NA,NA,NA,NA,NA,NA,NA,18.3,0.7,81,0.337
452657,2021,"Lester, Jon",0.348730961,-0.465301516,0.564468976,1.378501453,2.23046873,132.782316,0.0437186490000001,0.0198331149999999,1.361340266,-1.735917381,0.706146889,-0.331569774,13.80732404,132.688443,0.0726797970000001,0.177729141,NA,NA,NA,NA,NA,NA,NA,NA,0.319697784,0.025880919,1.055651411,0.710072708,5.09937766,567.39109,0.103734593,0.0364152249999998,0.351588022,0.140346651,1.170117143,0.67818247,1.14562979,262.813782,0.133009556,0.0198411729999996,25.6,-1,97,0.34
476595,2021,"Luetge, Lucas",0.282116883,-0.517883117,0.500805195,1.300805195,1.96025974,2.43211500000007,0.293818182,0.0003766230000001,1.901851371,-1.648253487,0.629565175,-0.883163059,13.83656566,103.987671,0.112107744,0.0577715249999997,0.767740768,-1.38329237,0.364604058,0.250947544,7.01447336,235.082115,0.247376901,0.188597264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,0.2,98,0.313
458681,2021,"Lynn, Lance",0.841253958,-0.905958221,0.728319511,1.018892668,5.31606617,131.124025,0.109154268,0.0885097569999997,0.774624279,0.141954669,0.319593379,-0.596985569,6.54751613,65.4659929999998,0.0172390499999997,0.0146589129999998,NA,NA,NA,NA,NA,NA,NA,NA,0.143020912,-1.531720467,1.354081757,0.320659622,1.51906785,762.284505,0.067606563,0.0322240269999998,0.119327702,-1.475208381,1.297569671,0.296966412,3.70810243,309.955723,0.0816682409999995,0.019886531,29.7,1.3,106,0.249
593372,2021,"Martinez, Carlos",0.250580357,-1.496976461,0.617745692,1.129811126,2.82333187,119.709244,0.174873876,0.0354914879999999,0.840714286,0.081428571,0.96065934,0.0385164829999999,12.31575092,221.504727,0.0206043959999999,0.423003662999999,0.651795499,0.180327789,1.059558558,0.22743527,8.08923428,111.228585,0.0037110489999996,0.106134779,0.911527663,-1.986325351,1.107094582,-0.032296894,5.74209277999999,313.203232,0.067475704,0.0321613839999992,0.519071832,-2.100201776,1.220971007,0.360158937,0.71338548,225.688168,0.0285602530000002,0.11961942,21.3,-0.3,93,0.416
593372,2021,"Martinez, Carlos",0.250580357,-1.496976461,0.617745692,1.129811126,2.82333187,119.709244,0.174873876,0.0354914879999999,0.840714286,0.081428571,0.96065934,0.0385164829999999,12.31575092,221.504727,0.0206043959999999,0.423003662999999,0.651795499,0.180327789,1.059558558,0.22743527,8.08923428,111.228585,0.0037110489999996,0.106134779,0.911527663,-1.986325351,1.107094582,-0.032296894,5.74209277999999,313.203232,0.067475704,0.0321613839999992,0.519071832,-2.100201776,1.220971007,0.360158937,0.71338548,225.688168,0.0285602530000002,0.11961942,21.3,-0.3,93,0.416
593372,2021,"Martinez, Carlos",0.250580357,-1.496976461,0.617745692,1.129811126,2.82333187,119.709244,0.174873876,0.0354914879999999,0.840714286,0.081428571,0.96065934,0.0385164829999999,12.31575092,221.504727,0.0206043959999999,0.423003662999999,0.651795499,0.180327789,1.059558558,0.22743527,8.08923428,111.228585,0.0037110489999996,0.106134779,0.911527663,-1.986325351,1.107094582,-0.032296894,5.74209277999999,313.203232,0.067475704,0.0321613839999992,0.519071832,-2.100201776,1.220971007,0.360158937,0.71338548,225.688168,0.0285602530000002,0.11961942,21.3,-0.3,93,0.416
594577,2021,"Mayers, Mike",0.390273093,-1.933658531,0.844220028,1.479711596,3.3492767,24.0314790000002,0.225345537,0.0529938520000001,0.784385027,-0.604385027,0.485053476,0.305053476,14.47700535,157.710456,0.65657754,0.302754010999999,0.918195769,-0.737505232,0.351933271,0.171242734,6.08442223,183.586425,0.082194839,0.0378179499999999,0.209385027,-2.394385027,1.304946524,0.880053476,3.52700535,812.710456,0.10342246,0.132245989,NA,NA,NA,NA,NA,NA,NA,NA,30.3,-1.1,91,0.358
453343,2021,"Melancon, Mark",0.180075757,-1.617590909,0.819712121,0.977954545,0.252121220000006,6.38664599999993,0.0628333329999999,0.0061666670000004,2.086725896,-0.544494491,0.253384297,-1.288847108,9.72027549000001,343.895999,0.143827824,0.0147424239999995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.7,1,95,0.355
489119,2021,"Miley, Wade",0.811382104,-0.343641593,0.563541506,1.718565203,4.47610032,37.2876629999996,0.157666201,0.0253392919999999,1.303550492,-1.459439381,0.552256282,-0.396367393,10.67962901,114.538298,0.161859339,0.122625426,0.246255302,-1.549538884,0.642355785,0.660927797,6.19263067,33.3923610000002,0.469159505,0.420602209,0.0085530069999999,0.653568634,1.560751733,0.898630092,3.48288062,469.903988,0.370511233,0.269903439,0.4480875,0.5680875,1.475270599,1.355270599,3.29646418,251.406146,0.237830665,0.181478472,46.6,0.3,109,0.329
656756,2021,"Montgomery, Jordan",0.663245246,-0.104764346,0.648165231,1.416174823,5.28914379000001,77.1137050000002,0.0745918199999999,0.0531653320000007,1.054157292,-0.803334924,0.050405347,-0.301227715,7.32603039,114.775648,0.106953299,0.0002993880000001,NA,NA,NA,NA,NA,NA,NA,NA,0.501578005,0.0873288039999999,0.840258381,1.254507582,4.81915717999999,656.54053,0.181035189,0.0730540879999992,0.302951354,0.570061283,1.32299086,1.055880931,5.12133803,189.07688,0.13059085,0.0839329740000005,13.8,-1.6,93,0.327
