mlbAM_ID,Year,player_name,FF_pfx_z_diff,FF_pfx_x_CU_pfx_z_diff,FF_pfx_x_diff,FF_pfx_z_CU_pfx_x_diff,FF_release_speed_diff,FF_release_spin_rate_diff,FF_release_pos_x_diff,FF_release_pos_z_diff,SL_pfx_z_diff,SL_pfx_x_CU_pfx_z_diff,SL_pfx_x_diff,SL_pfx_z_CU_pfx_x_diff,SL_release_speed_diff,SL_release_spin_rate_diff,SL_release_pos_x_diff,SL_release_pos_z_diff,CH_pfx_z_diff,CH_pfx_x_CU_pfx_z_diff,CH_pfx_x_diff,CH_pfx_z_CU_pfx_x_diff,CH_release_speed_diff,CH_release_spin_rate_diff,CH_release_pos_x_diff,CH_release_pos_z_diff,SI_pfx_z_diff,SI_pfx_x_CU_pfx_z_diff,SI_pfx_x_diff,SI_pfx_z_CU_pfx_x_diff,SI_release_speed_diff,SI_release_spin_rate_diff,SI_release_pos_x_diff,SI_release_pos_z_diff,FC_pfx_z_diff,FC_pfx_x_CU_pfx_z_diff,FC_pfx_x_diff,FC_pfx_z_CU_pfx_x_diff,FC_release_speed_diff,FC_release_spin_rate_diff,FC_release_pos_x_diff,FC_release_pos_z_diff,pitch_usage,est_woba,run_value_per_100
471911,2020,"Carrasco, Carlos",1.831212187,-0.161039122,1.518261344,0.473989965,10.24589151,457.9828771,0.043525305,0.025800611,0.601044929,0.890071775,0.467150447,-0.756177293,2.550717748,150.0246305,0.107740492,0.064594519,0.718415916,-0.008746246,1.365968468,-0.638806306,4.223686186,1613.097713,0.058963964,0.020112613,1.224667191,-0.727974319,2.085196541,-0.132555031,8.889124738,573.1021264,0.117232704,0.067256289,,,,,,,,,6.5,0.202,1.6
624418,2020,"Castellani, Ryan",1.769198126,-0.149362083,1.693647798,0.224912412,13.07182813,110.3825729,0.012407393,0.10882258,0.898958894,0.998009988,0.546275726,-0.645326821,5.534240711,75.85297185,0.002340706,0.078668569,1.249342105,-0.341786927,1.886072641,-0.294943609,6.322744361,807.5437788,0.02387885,0.015850109,1.729919028,-0.520080972,2.064366686,0.185633314,10.02082128,268.9010989,0.15459225,0.109398496,,,,,,,,,17.0,0.41,-2.1
656302,2020,"Cease, Dylan",2.83051985,1.152986131,0.982261394,0.695272325,18.48846411,164.1179241,0.03981934,0.127507583,1.166272444,2.099850425,0.035397099,-0.968975081,6.045196354,120.811972,0.156729948,0.014190814,2.740389582,0.99937509,1.135872435,0.605142058,3.897503229,955.4406691,0.007380542,0.019041469,,,,,,,,,,,,,,,,,9.3,0.304,0.1
650644,2020,"Civale, Aaron",2.657242039,0.986501298,1.330768074,0.339972666,15.57807845,496.5291786,0.08599426,0.047478475,1.160213963,1.934972027,0.382297346,-1.15705541,6.55994822,132.7266099,0.185259493,0.093311808,2.041513853,0.035920633,2.28134874,-0.275755519,9.622209019,804.3421102,0.397821002,0.260557571,2.295886006,0.189299984,2.127969389,-0.021383367,16.07312026,567.8879002,0.267168095,0.187102131,2.048927376,1.733913752,0.583355621,-0.268341997,11.72944589,338.3485472,0.097026655,0.019885378,21.2,0.27,-0.4
664199,2020,"Clarke, Taylor",2.400572635,0.424260135,0.893307432,1.083005068,14.43076014,139.6109797,0.168592905,0.09519848,1.109819346,1.247187767,0.070379801,-0.207748222,6.411450925,229.440256,0.125142248,0.092992888,1.459504883,-0.326629571,1.644197138,0.141937315,8.950681354,966.8935953,0.468262548,0.316746536,,,,,,,,,,,,,,,,,10.5,0.48,-3.6
605182,2020,"Clevinger, Mike",2.390908051,0.32971114,0.894980218,1.166216693,16.40789361,45.47609514,0.367499881,0.253968254,0.922169312,2.025312169,0.800620811,-0.302522046,2.930634921,158.4044092,0.276035273,0.178492063,1.914814815,0.015,1.209691358,0.690123457,8.507407407,824.4320988,0.222839506,0.232962963,,,,,,,,,1.355185185,1.262740741,0.038049383,0.130493827,9.315555556,228.5234568,0.347432099,0.221111111,12.5,0.344,-0.9
502171,2020,"Cobb, Alex",2.391333333,0.451333333,0.901925926,1.038074074,11.19925926,480.7373134,0.042444444,0.050740741,,,,,,,,,1.36200939,-0.027321596,1.380580856,0.00875013,5.227428273,962.4595749,0.10436698,0.017259259,2.116565709,-0.205627502,1.558886761,0.76330645,10.76061696,488.2781511,0.047906585,0.053941785,,,,,,,,,16.7,0.37,1.0
595918,2020,"Cole, A.J.",1.510507463,-0.612328358,1.173328358,0.949507463,15.12179104,134.2985075,0.479970149,0.173,0.561887006,0.223694915,0.337305085,0.000887006,5.222090395,90.66666667,0.091909605,0.002084746,0.794258065,-1.366064516,1.927064516,0.233258065,8.010645161,124.2903226,0.086258065,0.025903226,,,,,,,,,1.023052632,-0.107473684,0.668473684,0.462052632,10.32736842,25.44736842,0.125842105,0.001421053,2.6,0.148,9.1
543037,2020,"Cole, Gerrit",2.433437249,-0.074442498,1.80863762,0.699242127,13.35165638,298.087527,0.065770299,0.149273001,1.230652439,1.36244298,0.371752142,-0.503542683,5.347170402,221.6174192,0.039400132,0.088662327,1.824589006,-0.348545322,2.082740444,0.090393884,4.952974154,1052.971241,0.085362213,0.300277394,2.275235772,-0.414764228,2.14895935,0.54104065,12.60471545,298.5284553,0.224715447,0.326894309,,,,,,,,,17.0,0.223,0.5
571578,2020,"Corbin, Patrick",1.428147233,0.816788538,0.922697628,1.534056324,25.12574111,306.1249379,0.123166996,0.201842885,0.225775899,-0.159154334,0.053245243,0.331684989,14.15687104,389.4160677,0.034560254,0.263054968,1.092969697,1.03230303,1.138212121,1.198878788,12.67121212,301.1409091,0.002757576,0.294636364,1.197211632,1.268179374,1.374088465,1.303120723,25.08411535,244.0775545,0.099198436,0.250867546,,,,,,,,,2.1,0.305,-5.6
