"mlbAM_ID","Year","index","player_name","FF_pfx_z_diff","FF_pfx_x_CH_pfx_z_diff","FF_pfx_x_diff","FF_pfx_z_CH_pfx_x_diff","FF_release_speed_diff","FF_release_spin_rate_diff","FF_release_pos_x_diff","FF_release_pos_z_diff","CU_pfx_z_diff","CU_pfx_x_CH_pfx_z_diff","CU_pfx_x_diff","CU_pfx_z_CH_pfx_x_diff","CU_release_speed_diff","CU_release_spin_rate_diff","CU_release_pos_x_diff","CU_release_pos_z_diff","SL_pfx_z_diff","SL_pfx_x_CH_pfx_z_diff","SL_pfx_x_diff","SL_pfx_z_CH_pfx_x_diff","SL_release_speed_diff","SL_release_spin_rate_diff","SL_release_pos_x_diff","SL_release_pos_z_diff","SI_pfx_z_diff","SI_pfx_x_CH_pfx_z_diff","SI_pfx_x_diff","SI_pfx_z_CH_pfx_x_diff","SI_release_speed_diff","SI_release_spin_rate_diff","SI_release_pos_x_diff","SI_release_pos_z_diff","FC_pfx_z_diff","FC_pfx_x_CH_pfx_z_diff","FC_pfx_x_diff","FC_pfx_z_CH_pfx_x_diff","FC_release_speed_diff","FC_release_spin_rate_diff","FC_release_pos_x_diff","FC_release_pos_z_diff","pitch_usage","run_value_per_100","Stuff","est_woba"
621244,2021,250,"Berríos, José",0.831918601,-1.203191964,0.329196096,2.364306661,9.25274793,709.830474,0.124442957,0.247743286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.568659652,-1.724803599,0.192415539,2.101047712,8.98238983,612.866563,0.154703487,0.246352481,NA,NA,NA,NA,NA,NA,NA,NA,13.2,1.1,78,0.264
663460,2021,256,"Bubic, Kris",0.649111713,-0.118973952,0.539533598,0.228552067,10.86462468,468.990733,0.0322315829999999,0.0735041120000001,1.865269895,-1.322077283,1.742636929,-2.285829541,1.56497682,1015.177283,0.143157834,0.207027484999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.8,-1.1,84,0.357
669203,2021,260,"Burnes, Corbin",0.53775122,-1.091760976,0.680639024,2.31015122,5.6876,733.982789,0.126609756,0.206071219999999,1.267849789,0.324935021,2.097335021,0.504550211,9.5159865,993.384377,0.337455696,0.363339409,0.632771429,0.015589916,1.787989916,1.139628571,2.69517311,987.831221,0.0423865549999999,0.0897922689999992,0.391816949,-1.604708475,0.167691525,2.164216949,6.14565085,682.642686,0.104305085,0.189204746,0.317106273,-0.264569004,1.507830996,2.089506273,4.51416827,893.561421,0.0212730629999999,0.138171660999999,9.6,-0.4,103,0.193
622491,2021,263,"Castillo, Luis",0.983483315,-1.023157483,0.453606002,2.4602468,8.79866594000001,353.978741,0.0916307239999998,0.276308595000001,NA,NA,NA,NA,NA,NA,NA,NA,0.107293625,-0.0397845339999999,1.436978951,1.36946986,1.95690834,470.101304,0.0203683890000001,0.0912646930000002,0.288467338,-1.544727849,0.067964364,1.765230823,8.9815569,170.89057,0.122127333,0.16820373,NA,NA,NA,NA,NA,NA,NA,NA,30.5,0.3,107,0.245
622491,2021,263,"Castillo, Luis",0.983483315,-1.023157483,0.453606002,2.4602468,8.79866594000001,353.978741,0.0916307239999998,0.276308595000001,NA,NA,NA,NA,NA,NA,NA,NA,0.107293625,-0.0397845339999999,1.436978951,1.36946986,1.95690834,470.101304,0.0203683890000001,0.0912646930000002,0.288467338,-1.544727849,0.067964364,1.765230823,8.9815569,170.89057,0.122127333,0.16820373,NA,NA,NA,NA,NA,NA,NA,NA,30.5,0.3,107,0.245
622491,2021,263,"Castillo, Luis",0.983483315,-1.023157483,0.453606002,2.4602468,8.79866594000001,353.978741,0.0916307239999998,0.276308595000001,NA,NA,NA,NA,NA,NA,NA,NA,0.107293625,-0.0397845339999999,1.436978951,1.36946986,1.95690834,470.101304,0.0203683890000001,0.0912646930000002,0.288467338,-1.544727849,0.067964364,1.765230823,8.9815569,170.89057,0.122127333,0.16820373,NA,NA,NA,NA,NA,NA,NA,NA,30.5,0.3,107,0.245
612434,2021,264,"Castro, Miguel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.097886494,0.781697802,2.534512617,1.654928321,6.44346506000001,952.596759,0.0691029859999998,0.0450432809999998,0.410710053,-1.683232804,0.069582011,2.163524868,5.87943915,249.133968,0.0735121690000002,0.102255027,NA,NA,NA,NA,NA,NA,NA,NA,22,0.5,98,0.252
650644,2021,270,"Civale, Aaron",0.950441093,-0.780002832,0.539391108,2.269835033,5.84405975,680.360634,0.171954474,0.144048428,1.802804008,0.27022825,1.58962219,-0.483410068,8.53983382000001,1175.893799,0.264750977,0.187772727,0.657631491,0.226421372,1.545815312,0.661762449,2.15449206000001,1077.749477,0.132763482,0.131292551,0.569762121,-1.559587879,0.240193939,1.889156061,6.24292423999999,671.467176,0.0069348479999999,0.0296727270000003,0.0115037879999999,-0.038996212,1.280397728,1.330897728,2.14075756999999,847.463009,0.162880681,0.169314394000001,13.8,-0.2,55,0.33
502171,2021,271,"Cobb, Alex",1.108169255,-1.178732154,0.26878497,2.555686379,5.71385298,490.562608,0.223292013,0.0314899669999997,1.13958705,0.108358686,1.55587581,0.307930074,4.48712966000001,943.992513,0.152930074,0.0102747689999995,NA,NA,NA,NA,NA,NA,NA,NA,0.710170949,-1.58733281,0.139815686,2.157688073,5.19889587,435.559024,0.109041457,0.0170460920000001,NA,NA,NA,NA,NA,NA,NA,NA,37,-0.1,95,0.287
543037,2021,272,"Cole, Gerrit",0.665132152,-1.831758484,0.319096623,2.815987259,7.83531246000001,733.142878,0.0843518519999997,0.168457908,1.831527597,0.0391175639999999,2.189972671,0.31932751,6.40884733999999,1080.593548,0.0433700609999998,0.259478099,0.791734003,-0.386938859,1.763916248,1.359121104,1.45033574999999,880.916844,0.0607009459999998,0.184430307,0.381319715,-2.235880285,0.0850251779999999,2.532174822,7.82504513000001,655.52,0.0393482190000002,0.0709662709999996,NA,NA,NA,NA,NA,NA,NA,NA,14.2,0.6,84,0.225
622503,2021,275,"Crismatt, Nabil",0.992811227,-0.699895955,0.584001855,2.276709037,7.81871113,539.097899,0.380062185,0.215798039999999,1.283838953,1.005462635,2.289360445,5.88569999999677e-05,10.80104507,661.413254,0.371576874,0.300897925999999,NA,NA,NA,NA,NA,NA,NA,NA,0.665008422,-1.368196706,0.0842988959999999,1.948906232,7.35761183,517.357852,0.17147492,0.0708405389999997,NA,NA,NA,NA,NA,NA,NA,NA,51.2,0.4,106,0.287
