"mlbAM_ID","Year","player_name","CU_pfx_z_diff","CU_pfx_x_FF_pfx_z_diff","CU_pfx_x_diff","CU_pfx_z_FF_pfx_x_diff","CU_release_speed_diff","CU_release_spin_rate_diff","CU_release_pos_x_diff","CU_release_pos_z_diff","SL_pfx_z_diff","SL_pfx_x_FF_pfx_z_diff","SL_pfx_x_diff","SL_pfx_z_FF_pfx_x_diff","SL_release_speed_diff","SL_release_spin_rate_diff","SL_release_pos_x_diff","SL_release_pos_z_diff","CH_pfx_z_diff","CH_pfx_x_FF_pfx_z_diff","CH_pfx_x_diff","CH_pfx_z_FF_pfx_x_diff","CH_release_speed_diff","CH_release_spin_rate_diff","CH_release_pos_x_diff","CH_release_pos_z_diff","SI_pfx_z_diff","SI_pfx_x_FF_pfx_z_diff","SI_pfx_x_diff","SI_pfx_z_FF_pfx_x_diff","SI_release_speed_diff","SI_release_spin_rate_diff","SI_release_pos_x_diff","SI_release_pos_z_diff","FC_pfx_z_diff","FC_pfx_x_FF_pfx_z_diff","FC_pfx_x_diff","FC_pfx_z_FF_pfx_x_diff","FC_release_speed_diff","FC_release_spin_rate_diff","FC_release_pos_x_diff","FC_release_pos_z_diff","pitch_usage","run_value_per_100","Stuff","est_woba"
668678,2020,"Gallen, Zac",2.253826198,-0.952826198,0.827701325,-0.473298675,12.00325688,53.451916,0.166205912,0.115652906,1.395603975,-0.888103975,0.892423548,0.384923548,6.17492355,42.390805,0.142094801,0.0701529059999996,1.193355548,-2.585431019,0.804903496,0.587171975,8.38278518,848.370202,0.291591657,0.327920201,0.172270642,-2.627270642,0.846743119,1.608256881,0.383256880000005,186.775862,0.103738532,0.0059862389999993,1.194507006,-0.937888824,0.842638699,0.586020517,6.24598415,32.2831350000001,0.167788741,0.0969680569999997,39,1.1,110,0.305
665620,2020,"García, Deivi",2.948403868,-0.891780491,1.350648531,-0.705974846,16.62662952,520.068621,0.302653529,0.504109959,1.724970426,-1.129137093,1.113291929,0.517458596,9.41437303000001,347.657437,0.119398659,0.158723055,0.574067648,-2.718512093,0.476083071,1.668361374,11.28423414,332.232841,0.130523659,0.0654591660000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.6,1,89,0.338
592332,2020,"Gausman, Kevin",NA,NA,NA,NA,NA,NA,NA,NA,1.350728368,-1.121940489,1.080489229,0.85170135,13.18371668,41.0606669999997,0.200313983,0.129079956,0.938043121,-2.386704921,0.184275203,1.264386597,10.87543312,581.841071,0.263898367,0.16683156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.1,0.7,106,0.373
608337,2020,"Giolito, Lucas",2.779560261,-1.126226928,1.009782844,-0.643550489,16.65903909,143.702498,0.0592888170000001,0.215833333,1.255789311,-1.251822831,0.884186941,0.880220461,9.06951395,254.466962,0.135925336,0.0191620109999997,0.480428232,-2.277567596,0.141557824,1.65558154,13.09870902,938.772993,0.0666688039999998,0.0136919320000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.6,0.9,108,0.29
607192,2020,"Glasnow, Tyler",2.924622674,-0.909846555,0.592739061,-1.422037058,14.48186925,526.451789,0.0412255670000001,0.148935647,NA,NA,NA,NA,NA,NA,NA,NA,0.558241248,-2.450685693,0.948100077,0.944344368,5.82259893,627.572755,0.358893836,0.165989726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.6,0.9,139,0.346
664062,2020,"Gonsolin, Tony",2.670818053,-1.148913291,1.14750462,-0.374400142,13.34037668,156.404951,0.131491115,0.0303141440000001,1.371221604,-1.185543638,1.110874273,0.925196307,7.60555021,271.539938,0.0210189729999999,0.0336030860000002,0.828627577,-2.75448472,0.458066809,1.467790334,9.95275764,650.636745,0.184413646,0.142314144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.5,2.4,98,0.303
592351,2020,"Gray, Jon",1.39358948,-0.111771298,1.748228702,0.46641052,16.25100629,419.871069,0.13789594,0.268518582,0.597721108,-0.685794025,1.174205975,1.262278892,7.72090211999999,224.943986,0.107034198,0.247802673,0.0230722539999999,-1.774718444,0.085281556,1.883072254,7.55054117,598.384745,0.133223636,0.190869533,0.0743845459999998,-2.291329739,0.431329739,1.934384546,0.0252919999999932,40.1289310000002,0.008805031,0.0562848159999997,NA,NA,NA,NA,NA,NA,NA,NA,48.3,0.9,74,0.331
543243,2020,"Gray, Sonny",2.302905772,-0.005996681,1.448527128,-0.848381963,12.16727706,436.102847,0.0292795089999999,0.0340304480000002,1.717409981,0.116012837,1.570536646,-0.262886172,10.13188719,296.604348,0.100247417,0.0736015229999997,0.256734511,-2.428992575,0.974468766,1.197789298,3.2453533,302.949235,0.0447094209999999,0.157574244,0.417623152,-2.358504378,0.903980569,1.036900657,0.0805281899999954,102.683137,0.054311713,0.0300041049999997,NA,NA,NA,NA,NA,NA,NA,NA,26,1.1,104,0.275
425844,2020,"Greinke, Zack",2.368966817,-0.564867438,0.981058488,-0.823040891,17.57301156,100.824776,0.038355906,0.0698245919999998,0.982313181,-0.899195534,0.646730392,0.563612745,3.68263888999999,94.5260539999999,0.0628450439999999,0.0218878,1.094704662,-2.543239145,0.997313219,0.451221264,1.95246648,659.427398,0.195387133,0.0954390169999994,0.258842593,-2.568842593,1.022916667,1.287083333,1.56736111000001,68.262181,0.0034490739999999,0.0532407409999997,NA,NA,NA,NA,NA,NA,NA,NA,40.8,-0.2,76,0.392
571760,2020,"Heaney, Andrew",1.599635723,-1.784431263,1.630810848,-1.446015308,12.30012214,114.811654,0.0129394710000001,0.154259559,NA,NA,NA,NA,NA,NA,NA,NA,0.636927673,0.0470405809999998,0.200660996,-0.483307258,8.54779626,429.966753,0.0578823320000001,0.133417129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.8,0.3,101,0.35
